machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
i9-9980HK,x86_64,bitpack-scalar,7,branchfree,1.00000,0,67108864,58720256,250776000.0,0.234,0.268,0.00,14.31,17.58,0.0164,67108864,67108864
i9-9980HK,x86_64,fastlanes,7,branchy,1.00000,0,67108864,58720256,19445000.0,3.020,3.451,0.00,14.31,17.58,0.2111,67108864,67108864
i9-9980HK,x86_64,fastlanes,7,branchfree,1.00000,0,67108864,58720256,12047000.0,4.874,5.571,0.00,14.31,17.58,0.3407,67108864,67108864
i9-9980HK,x86_64,bitpack-scalar,7,branchy,0.50000,0,67108864,58720256,244503000.0,0.240,0.274,0.00,14.31,17.58,0.0168,33554432,33554432
i9-9980HK,x86_64,bitpack-scalar,7,branchfree,0.50000,0,67108864,58720256,241990000.0,0.243,0.277,0.00,14.31,17.58,0.0170,33554432,33554432
i9-9980HK,x86_64,fastlanes,7,branchy,0.50000,0,67108864,58720256,19345000.0,3.035,3.469,0.00,14.31,17.58,0.2122,33554432,33554432
i9-9980HK,x86_64,fastlanes,7,branchfree,0.50000,0,67108864,58720256,11941000.0,4.918,5.620,0.00,14.31,17.58,0.3438,33554432,33554432
i9-9980HK,x86_64,bitpack-scalar,7,branchy,0.10000,0,67108864,58720256,243773000.0,0.241,0.275,0.00,14.31,17.58,0.0168,6710886,6710886
i9-9980HK,x86_64,bitpack-scalar,7,branchfree,0.10000,0,67108864,58720256,244721000.0,0.240,0.274,0.00,14.31,17.58,0.0168,6710886,6710886
i9-9980HK,x86_64,fastlanes,7,branchy,0.10000,0,67108864,58720256,19406000.0,3.026,3.458,0.00,14.31,17.58,0.2115,6710886,6710886
i9-9980HK,x86_64,fastlanes,7,branchfree,0.10000,0,67108864,58720256,12040000.0,4.877,5.574,0.00,14.31,17.58,0.3409,6710886,6710886
i9-9980HK,x86_64,bitpack-scalar,7,branchy,0.01000,0,67108864,58720256,246096000.0,0.239,0.273,0.00,14.31,17.58,0.0167,671089,671089
i9-9980HK,x86_64,bitpack-scalar,7,branchfree,0.01000,0,67108864,58720256,257203000.0,0.228,0.261,0.00,14.31,17.58,0.0160,671089,671089
i9-9980HK,x86_64,fastlanes,7,branchy,0.01000,0,67108864,58720256,19485000.0,3.014,3.444,0.00,14.31,17.58,0.2107,671089,671089
i9-9980HK,x86_64,fastlanes,7,branchfree,0.01000,0,67108864,58720256,12039000.0,4.878,5.574,0.00,14.31,17.58,0.3410,671089,671089
i9-9980HK,x86_64,bitpack-scalar,7,branchy,0.00100,0,67108864,58720256,244726000.0,0.240,0.274,0.00,14.31,17.58,0.0168,67109,67109
i9-9980HK,x86_64,bitpack-scalar,7,branchfree,0.00100,0,67108864,58720256,244620000.0,0.240,0.274,0.00,14.31,17.58,0.0168,67109,67109
i9-9980HK,x86_64,fastlanes,7,branchy,0.00100,0,67108864,58720256,19465000.0,3.017,3.448,0.00,14.31,17.58,0.2109,67109,67109
