machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
M4,arm64,fastlanes,8,branchy,0.00100,0,67108864,67108864,10786000.0,6.222,6.222,0.00,70.15,93.79,0.0887,67109,67109
M4,arm64,fastlanes,8,branchfree,0.00100,0,67108864,67108864,7586000.0,8.846,8.846,0.00,70.15,93.79,0.1261,67109,67109
M4,arm64,bitpack-scalar,8,branchy,0.00010,0,67108864,67108864,7819000.0,8.583,8.583,0.00,70.15,93.79,0.1224,6711,6711
M4,arm64,bitpack-scalar,8,branchfree,0.00010,0,67108864,67108864,7775000.0,8.631,8.631,0.00,70.15,93.79,0.1230,6711,6711
M4,arm64,fastlanes,8,branchy,0.00010,0,67108864,67108864,10764000.0,6.235,6.235,0.00,70.15,93.79,0.0889,6711,6711
M4,arm64,fastlanes,8,branchfree,0.00010,0,67108864,67108864,7564000.0,8.872,8.872,0.00,70.15,93.79,0.1265,6711,6711
M4,arm64,bitpack-scalar,9,branchy,1.00000,0,67108864,75497472,32923000.0,2.293,2.038,0.00,70.15,93.79,0.0327,67108864,67108864
M4,arm64,bitpack-scalar,9,branchfree,1.00000,0,67108864,75497472,32936000.0,2.292,2.038,0.00,70.15,93.79,0.0327,67108864,67108864
M4,arm64,fastlanes,9,branchy,1.00000,0,67108864,75497472,12508000.0,6.036,5.365,0.00,70.15,93.79,0.0860,67108864,67108864
M4,arm64,fastlanes,9,branchfree,1.00000,0,67108864,75497472,8027000.0,9.405,8.360,0.00,70.15,93.79,0.1341,67108864,67108864
M4,arm64,bitpack-scalar,9,branchy,0.50000,0,67108864,75497472,32659000.0,2.312,2.055,0.00,70.15,93.79,0.0330,33554432,33554432
M4,arm64,bitpack-scalar,9,branchfree,0.50000,0,67108864,75497472,33218000.0,2.273,2.020,0.00,70.15,93.79,0.0324,33554432,33554432
